,SRC_obs,SubId,DrainArea,DA_error,Obs_NM,Use_region,DA_Obs,Region,Sub_Reg,DI,CheckArea,AreaError
134,US,1030082,407991830792.0,0.99612974066,07263450,1,409577.0,0001,00053,18.64970174884511,407991830792.7866,1.928031480980879e-12
135,US,1084357,360454081.844,1.00123352641,07231975,0,360.01,0001,00002,0.0,360454081.843413,1.6284641270953544e-12
136,US,1092534,138242592.873,0.95655051046,03576400,0,144.522,0001,00039,0.0,138242592.87306,4.339623101654631e-13
137,US,1091571,541435403.835,1.00023166732,03590000,0,541.31,0001,00039,0.0,541435403.8353801,7.019105370577241e-13
138,US,1092431,887631445.577,1.0020901867,03575000,0,885.78,0001,00039,0.0,887631445.5769371,7.091062985257025e-14
139,US,1001977,586290903.255,0.99283835138,07277000,0,590.52,0001,00067,0.0,586290903.2546301,6.309264281987128e-13
140,US,1002855,561477096.079,0.99443359442,07276000,0,564.62,0001,00067,0.0,561477096.079196,3.4904375154407e-13
141,US,1089098,194581675.409,1.00438582893,03550500,0,193.732,0001,00039,0.0,194581675.409273,1.402954684697213e-12
142,US,1111088,202770897.447,1.0114976976,07077930,0,200.466,0001,00063,0.0,202770897.4472,9.863515329960004e-13
143,US,1089056,54723719.0639,1.001367254,03551000,0,54.649,0001,00039,0.0,54723719.0639,0.0
144,US,1084345,349190046.672,1.00613740181,07231990,0,347.06,0001,00002,0.0,349190046.67247504,1.3604311560062442e-12
145,US,1030534,1061985845.78,1.00008084168,07261500,0,1061.9,0001,00053,0.0,1061985845.7834299,3.2296943434645464e-12
146,US,1030696,118658391.358,0.9937971956,07263295,0,119.399,0001,00053,0.0,118658391.35783,1.4326205248016208e-12
147,US,1089041,71727138.097,1.00340129395,03551500,0,71.484,0001,00039,0.0,71727138.0971,1.3941960522204943e-12
148,US,1030695,189791701.889,1.00381711477,07263296,0,189.07,0001,00053,0.0,189791701.88902998,1.5796863626606817e-13
149,US,1030752,709846543.493,1.02265680789,07247015,0,694.12,0001,00053,5.450317519859682,709846543.4929299,9.874678252420145e-14
150,US,1030518,23634536.0664,1.04888545983,072632962,0,22.533,0001,00053,0.0,23634536.0664,0.0
151,US,1093713,104891325.109,1.02528053476,03544970,0,102.305,0001,00039,0.0,104891325.10879,2.0020918268185382e-12
152,US,1089294,600628535.831,0.99529145746,03559000,0,603.47,0001,00039,254.55868474845317,600628535.8312901,4.830862895402678e-13
153,US,1092647,381733690.488,0.98917802205,03568933,0,385.91,0001,00039,0.0,381733690.48789,2.88081907232269e-13
154,US,1093720,110222163.214,0.9353147203,03545000,0,117.845,0001,00039,0.0,110222163.21388,1.0887016512375377e-12
155,US,1002854,493453740.163,0.99750094031,07275900,0,494.69,0001,00067,0.0,493453740.16279596,4.134667192891618e-13
156,US,1030633,543890475.447,0.99998248841,07263000,0,543.9,0001,00053,0.0,543890475.447356,6.544680494838333e-13
157,US,1031195,313250138.566,1.00788332872,07247500,0,310.8,0001,00053,0.0,313250138.56558,1.3406995732227464e-12
158,US,1093762,83101257.0549,0.9902909702,03545500,0,83.916,0001,00039,0.0,83101257.05492598,3.1254309358663306e-13
159,US,1031140,527386243.058,1.0030740496,07247000,0,525.77,0001,00053,9.804544882359007,527386243.05810994,2.0840696247310475e-13
160,US,1031029,145155963.51,0.99723796363,07247450,0,145.558,0001,00053,0.0,145155963.51045,3.1002175671769564e-12
161,US,1030728,14275008.1154,1.11120688406,072632982,0,12.8464,0001,00053,0.0,14275008.1154,0.0
162,US,1005610,688710053.898,0.95996829502,07029300,0,717.43,0001,00062,0.0,688710053.8983389,4.920967949787836e-13
163,US,1090853,351543935.845,1.03611640734,03572110,0,339.29,0001,00039,0.0,351543935.84544104,1.254508246979302e-12
164,US,1031122,32131197.7234,0.96920842554,07247550,0,33.152,0001,00053,0.0,32131197.7234,0.0
165,US,1030946,2579962474.84,1.00314653339,07248500,0,2571.87,0001,00053,159.2453201652567,2579962474.838807,4.62427876939647e-13
166,US,1088976,43388985.9004,1.00314396459,03552000,0,43.253,0001,00039,0.0,43388985.9004,0.0
167,US,1091088,393089201.315,0.9984992921,03585300,0,393.68,0001,00039,0.0,393089201.3148569,3.6406686224644424e-13
168,US,1084248,101369742.973,1.02190331333,07232024,0,99.197,0001,00002,0.0,101369742.97277,2.2689159139754285e-12
169,US,1030350,1770114206.06,0.99918388655,07262500,0,1771.56,0001,00053,174.8146610645683,1770114206.0600133,7.542700004315393e-15
170,US,1030348,1769347120.7,1.00462589184,07262000,0,1761.2,0001,00053,174.96286248669776,1769347120.70443,2.503779821640361e-12
171,US,1030383,2460586060.06,0.99272019626,07263012,0,2478.63,0001,00053,90.71577072417162,2460586060.0644093,1.7919768275842294e-12
172,US,1092145,387469968.147,1.01082638043,03567340,0,383.32,0001,00039,0.0,387469968.14665496,8.905239553271114e-13
173,US,1030907,186425334.816,0.98736479769,07248600,0,188.811,0001,00053,0.0,186425334.81601998,1.0710752387524819e-13
174,US,1031385,51804191.6672,1.03101125795,07248620,0,50.246,0001,00053,0.0,51804191.6672,0.0
175,US,1091648,107945329.952,1.2629616234,0357479650,0,85.47,0001,00039,0.0,107945329.9522,1.8526830616160807e-12
176,US,1084095,2301970626.33,1.00089160768,07231000,0,2299.92,0001,00002,61.10678795710091,2301970626.3324733,1.074450868881348e-12
177,US,1094002,556472886.628,0.99932277387,03553500,0,556.85,0001,00039,247.84332814658654,556472886.6282929,5.263459037530254e-13
178,US,1005149,2112846749.84,1.03787652148,07047950,0,2035.74,0001,00062,0.0,2112846749.8436084,1.7078688716895382e-12
179,US,1084471,71044893377.4,1.00049138681,07231500,0,71010.0,0001,00002,76.41549291640634,71044893377.40881,1.2414094326631202e-13
180,US,1089129,182638058.337,0.994592734,03560000,0,183.631,0001,00039,0.0,182638058.33707,3.8313949241176544e-13
181,US,1030718,212496637.78,1.00792424928,07260000,0,210.826,0001,00053,0.0,212496637.77960002,1.882274340638552e-12
182,US,1089548,912062651.617,1.00041972141,03559500,0,911.68,0001,00039,112.64916941074053,912062651.6173002,3.291100568110055e-13
183,US,1089568,1097584788.51,0.9994762043,03560110,0,1098.16,0001,00039,78.18948339079896,1097584788.509101,8.191407818365558e-13
184,US,1092623,640986128.576,0.99391562943,03567000,0,644.91,0001,00039,0.0,640986128.5760049,7.625096166184077e-15
185,US,1088474,511809909.07,0.97826734407,07229300,0,523.18,0001,00002,0.0,511809909.0699899,1.968149656450538e-14
186,US,1089365,1153802822.8,0.99884241113,03561420,0,1155.14,0001,00039,70.90519079224951,1153802822.795644,3.775261556055839e-12
187,US,1030782,112286143.346,0.80883812126,07248700,0,138.824,0001,00053,0.0,112286143.34565999,3.0281091325177147e-12
188,US,1003689,16227571.2635,1.07469494516,07032222,0,15.0997,0001,00062,0.0,16227571.2635,0.0
189,US,1090661,58634565324.1,0.99994824693,03571850,0,58637.6,0001,00039,49.29926885767188,58634565324.14641,7.91505943244683e-13
190,US,1089364,1158986422.73,1.00108524676,03561500,0,1157.73,0001,00039,70.28799580912404,1158986422.733234,2.7902911919503756e-12
191,US,1088507,65803726889.7,1.00050519442,07229200,0,65770.5,0001,00002,96.78531967503666,65803726889.72692,4.0915818257393534e-13
